model,season,region,n_seeds,seed_mean,seed_std,seed_min,seed_max,ensemble_MAE,ens_gain
ConvNeXtTiny-TFT-NN,summer,Center,5,1.9008889134453786,0.05454262793324831,1.821911105042017,1.9544350210084038,1.8521671092436975,0.04872180420168104
ConvNeXtTiny-TFT-NN,summer,Negev,5,1.7764541456066945,0.008907938372577844,1.7622462719665273,1.7856865355648541,1.765911928870293,0.010542216736401544
ConvNeXtTiny-TFT-NN,summer,Northwest,5,1.9289504343096238,0.08208974814126467,1.797650351464435,2.0052534895397494,1.8591277364016738,0.06982269790794993
ConvNeXtTiny-TFT-NN,winter,Center,5,1.325926941841004,0.021132214147053244,1.3059103104602507,1.357989742259414,1.2977096736401672,0.02821726820083681
ConvNeXtTiny-TFT-NN,winter,Negev,5,1.407759598493724,0.045186168565730225,1.3395619732217574,1.4491303899581591,1.371627422594142,0.03613217589958184
ConvNeXtTiny-TFT-NN,winter,Northwest,5,1.452661141757322,0.07415679975543511,1.3278743267782427,1.5271623769874476,1.3928404142259416,0.05982072753138046
Tab-TFT,summer,Center,5,1.9550517445378155,0.0777911958722263,1.8732205210084034,2.064937340336135,1.9136879495798318,0.0413637949579837
Tab-TFT,summer,Negev,5,1.9240545707112973,0.10260857802523252,1.8239366443514646,2.080471008368201,1.8963455104602511,0.027709060251046136
Tab-TFT,summer,Northwest,5,1.92909970125523,0.06277799049534903,1.8530774351464434,2.0205040251046023,1.8943474142259413,0.034752287029288675
Tab-TFT,winter,Center,5,1.344214841757322,0.03038852906757985,1.3037716891213385,1.3892589158995816,1.3152862635983262,0.028928578158995855
Tab-TFT,winter,Negev,5,1.535519709790795,0.07694810591237956,1.4717594774058578,1.6270195410041841,1.510991280334728,0.024528429456067036
Tab-TFT,winter,Northwest,5,1.509062579748954,0.02457809291406479,1.4847367849372384,1.5446530556485354,1.483098188284519,0.025964391464435188
