feature,k_pub,best_scale,k_tuned,gamma,mae_tuned,mae_pub,mae_noelev
max_wet_temp,14.80307493,0.25,3.7007687325,8.0,0.5802622248508233,0.6509878196895512,1.104018340380022
tmp_air_wet,20.92850644,0.25,5.23212661,8.0,0.5618769442955349,0.6363966752409463,1.038684452371979
min_wet_temp,17.09035392,0.25,4.27258848,8.0,0.9926150305413302,1.0848780062085042,1.244352160991442
tmp_air_dry,3.734632257,0.25,0.93365806425,16.0,0.7570945648281258,0.792771828389615,1.331695684471958
tmp_dew_pnt,3.318591011,0.25,0.82964775275,16.0,0.9786403760476087,1.129317828962844,1.3239173810707838
max_heat_stress,2.665264407,0.5,1.3326322035,16.0,1.01747375558128,1.072572482904115,1.7222928777774116
min_heat_stress,16.31536378,0.25,4.078840945,8.0,1.240111402066791,1.3192386543697137,1.5113164179399305
max_dry_temp,2.319985669,0.5,1.1599928345,16.0,1.1226060494514178,1.1786771167171317,1.8126860940336067
min_dry_temp,10.63657381,0.25,2.6591434525,8.0,1.3203346627428592,1.4210875662441196,1.6093901813055145
