tag,pred_m1_hot,pred_m1_p3,pred_m1_p7,pred_m1_p15,pred_point,true_m1_hot,true_m1_p3,true_m1_p7,true_m1_p15,split
2021-06-14,19.324338912963867,19.493854522705078,19.694812774658203,20.089340209960938,2021-06-13,18.25,18.39166666666667,18.983333333333334,20.966666666666665,test
2021-06-21,18.89923095703125,19.281408309936523,19.74627685546875,20.460166931152344,2021-06-20,18.25,19.783333333333335,20.583333333333332,21.674999999999997,test
2021-06-28,20.339967727661133,20.672517776489258,20.833148956298828,21.217266082763672,2021-06-27,20.583333333333332,21.10833333333333,21.649999999999995,22.825,test
2021-07-01,20.762557983398438,21.041088104248047,21.117321014404297,21.5076904296875,2021-06-30,20.583333333333332,21.258333333333336,22.075,23.025000000000002,test
2021-07-07,21.34001922607422,21.52874183654785,21.631860733032227,21.877532958984375,2021-07-06,20.583333333333332,21.258333333333336,21.633333333333336,22.849999999999998,test
2021-07-14,21.92917823791504,22.129337310791016,22.224056243896484,22.477022171020508,2021-07-13,21.258333333333336,21.599999999999994,22.791666666666668,23.216666666666665,test
2021-07-21,22.361936569213867,22.47519874572754,22.595306396484375,22.85375213623047,2021-07-20,21.483333333333334,21.633333333333336,22.941666666666666,23.36666666666667,test
2021-07-28,22.458324432373047,22.586904525756836,22.880069732666016,23.115694046020508,2021-07-27,21.383333333333336,21.599999999999994,22.299999999999997,23.24166666666667,test
2021-08-01,22.83721160888672,22.995922088623047,23.165016174316406,23.227214813232422,2021-07-31,21.383333333333336,21.599999999999994,22.299999999999997,23.275000000000002,test
2021-08-07,22.98223114013672,23.037330627441406,23.226428985595703,23.311847686767578,2021-08-06,21.383333333333336,21.816666666666666,22.741666666666664,23.366666666666664,test
2021-08-14,22.972618103027344,23.05218505859375,23.07831573486328,23.33759307861328,2021-08-13,20.85833333333333,21.383333333333336,22.141666666666666,22.85833333333333,test
2021-08-21,22.193593978881836,22.353771209716797,22.53215217590332,22.832202911376953,2021-08-20,20.066666666666663,20.23333333333333,21.383333333333336,22.59166666666667,test
2021-08-28,22.61505889892578,22.834911346435547,22.93096923828125,23.196495056152344,2021-08-27,17.93333333333333,20.066666666666663,20.758333333333333,21.900000000000002,test
2021-09-01,22.28433609008789,22.524246215820312,22.749095916748047,23.024524688720703,2021-08-31,17.93333333333333,19.333333333333332,20.23333333333333,21.475000000000005,test
2021-09-07,21.322574615478516,21.636127471923828,22.013647079467773,22.402551651000977,2021-09-06,17.93333333333333,18.825,19.7,20.758333333333333,test
2021-09-14,21.137222290039062,21.304067611694336,21.675861358642578,21.975263595581055,2021-09-13,17.308333333333334,17.93333333333333,18.825,20.158333333333335,test
2021-09-21,19.987380981445312,20.07646369934082,20.268321990966797,20.907665252685547,2021-09-20,17.308333333333334,17.775,18.016666666666666,19.333333333333332,test
2021-09-28,18.643686294555664,18.81785774230957,19.262290954589844,19.756820678710938,2021-09-27,16.308333333333334,16.533333333333335,17.425,18.55,test
2021-10-01,19.235280990600586,19.309345245361328,19.713451385498047,20.504375457763672,2021-09-30,15.908333333333333,16.400000000000002,17.425,18.133333333333333,test
2021-10-07,17.373889923095703,17.498733520507812,17.819683074951172,18.6724853515625,2021-10-06,15.272727272727273,16.308333333333334,16.709090909090907,17.975,test
2021-10-14,18.59042739868164,18.60700798034668,18.854528427124023,19.09790802001953,2021-10-13,12.100000000000001,14.850000000000001,15.772727272727275,16.974999999999998,test
2021-10-21,15.962852478027344,16.400724411010742,16.73653793334961,17.19296646118164,2021-10-20,12.100000000000001,14.850000000000001,15.558333333333332,16.525000000000002,test
2021-10-28,14.410093307495117,14.627988815307617,15.27739143371582,15.856836318969727,2021-10-27,12.100000000000001,12.858333333333333,13.241666666666665,15.641666666666664,test
2021-11-01,16.172998428344727,16.731382369995117,16.906415939331055,17.294139862060547,2021-10-31,12.100000000000001,12.525,13.216666666666667,15.272727272727273,test
2021-11-07,13.840442657470703,14.030088424682617,14.279738426208496,14.900290489196777,2021-11-06,10.908333333333331,11.800000000000002,12.858333333333333,13.833333333333334,test
2021-11-14,13.688879013061523,14.26635456085205,14.418712615966797,14.752426147460938,2021-11-13,10.808333333333332,11.641666666666667,11.983333333333334,13.216666666666667,test
2021-11-21,12.189178466796875,12.66971206665039,13.25601577758789,14.108973503112793,2021-11-20,9.516666666666667,10.391666666666667,11.350000000000001,12.525,test
2021-11-28,10.961384773254395,11.46270751953125,11.826791763305664,12.57255744934082,2021-11-27,6.575,8.175,10.391666666666667,11.641666666666667,test
2021-12-01,11.188804626464844,11.859807014465332,12.152183532714844,12.847552299499512,2021-11-30,6.575,8.175,9.516666666666667,11.233333333333334,test
2021-12-07,11.49624252319336,11.605406761169434,11.891687393188477,12.185514450073242,2021-12-06,6.575,8.175,9.316666666666665,11.066666666666665,test
2021-12-14,10.428308486938477,10.639751434326172,11.028722763061523,11.454679489135742,2021-12-13,6.575,7.749999999999999,8.549999999999999,9.850000000000001,test
2021-12-21,10.283212661743164,10.606172561645508,11.092782974243164,11.500210762023926,2021-12-20,2.9250000000000007,6.341666666666666,8.158333333333333,9.125000000000002,test
2021-12-28,9.245538711547852,9.587596893310547,10.037620544433594,10.282522201538086,2021-12-27,2.9250000000000007,4.191666666666666,6.208333333333333,8.549999999999999,test
2022-01-01,9.468868255615234,9.57716178894043,10.082916259765625,10.387694358825684,2021-12-31,2.9250000000000007,4.191666666666666,5.616666666666667,7.883333333333334,test
2022-01-07,9.044807434082031,9.847358703613281,9.939178466796875,10.248910903930664,2022-01-06,2.9250000000000007,4.191666666666666,5.616666666666667,7.558333333333334,test
2022-01-14,9.024232864379883,9.044196128845215,9.306385040283203,9.61963939666748,2022-01-13,2.9250000000000007,4.191666666666666,5.616666666666667,7.433333333333333,test
2022-01-21,2.834083080291748,3.526761531829834,3.9944658279418945,5.224144458770752,2022-01-20,4.191666666666666,5.2749999999999995,6.208333333333333,7.6499999999999995,test
2022-01-28,3.001434326171875,3.1707324981689453,3.726402759552002,4.281132698059082,2022-01-27,5.533333333333334,6.741666666666666,7.241666666666666,9.016666666666667,test
2022-02-01,2.6645750999450684,3.456447124481201,4.043946743011475,4.934906005859375,2022-01-31,5.866666666666667,6.791666666666665,7.6499999999999995,9.091666666666669,test
2022-02-07,5.27921724319458,6.117318630218506,6.634272575378418,7.097649097442627,2022-02-06,5.866666666666667,7.158333333333334,7.841666666666665,9.516666666666667,test
2022-02-14,7.094319820404053,7.256910800933838,7.37175989151001,7.807011604309082,2022-02-13,4.7250000000000005,7.158333333333334,7.841666666666665,9.725,test
2022-02-21,8.535125732421875,8.669002532958984,8.956682205200195,9.29908561706543,2022-02-20,3.625,4.7250000000000005,7.383333333333334,8.583333333333334,test
2022-02-28,8.740946769714355,9.252569198608398,9.770630836486816,10.682348251342773,2022-02-27,3.625,4.7250000000000005,6.233333333333333,7.841666666666665,test
2022-03-01,8.699016571044922,9.174247741699219,9.814090728759766,10.485492706298828,2022-02-28,3.625,4.7250000000000005,6.233333333333333,7.841666666666668,test
2022-03-07,9.584720611572266,9.841209411621094,10.033098220825195,10.608394622802734,2022-03-06,3.625,4.7250000000000005,6.233333333333333,7.875000000000001,test
2022-03-14,7.692322731018066,9.364395141601562,10.153641700744629,11.041969299316406,2022-03-13,3.625,4.783333333333333,7.316666666666667,8.281818181818183,test
2022-03-21,9.264342308044434,9.585115432739258,10.256640434265137,11.26681900024414,2022-03-20,4.666666666666667,6.233333333333333,7.816666666666666,10.466666666666667,test
2022-03-28,6.315220355987549,6.579761505126953,6.757699966430664,6.994311809539795,2022-03-27,7.816666666666666,8.281818181818183,10.399999999999999,12.6,test
2022-04-01,5.981139183044434,6.319084644317627,6.674769401550293,7.158093452453613,2022-03-31,8.166666666666668,10.133333333333333,10.636363636363637,13.6,test
2022-04-07,12.154741287231445,12.628313064575195,12.879810333251953,13.303659439086914,2022-04-06,8.166666666666668,10.133333333333333,11.375,14.674999999999999,test
2022-04-14,11.105644226074219,11.340099334716797,11.783344268798828,12.525617599487305,2022-04-13,8.166666666666668,10.133333333333333,11.575000000000001,14.191666666666665,test
2022-04-21,13.226116180419922,13.490548133850098,13.787094116210938,14.920809745788574,2022-04-20,10.525,11.375,13.5,14.700000000000001,test
2022-04-28,14.124199867248535,14.158164978027344,14.695693969726562,15.588346481323242,2022-04-27,11.375,12.591666666666663,14.041666666666664,15.358333333333333,test
2022-05-01,14.953714370727539,15.10403823852539,15.464158058166504,16.054882049560547,2022-04-30,11.575000000000001,13.024999999999999,14.191666666666665,15.68333333333333,test
2022-05-07,14.870607376098633,15.564332962036133,15.877130508422852,16.905162811279297,2022-05-06,11.575000000000001,13.024999999999999,14.191666666666665,16.44166666666667,test
2022-05-14,14.50420093536377,15.557611465454102,16.416141510009766,17.406463623046875,2022-05-13,14.041666666666666,14.449999999999998,16.175,17.766666666666666,test
2022-05-21,15.839363098144531,15.978067398071289,17.103668212890625,18.187782287597656,2022-05-20,15.025,16.44166666666667,17.108333333333338,18.816666666666666,test
2022-05-28,17.144298553466797,17.3320369720459,18.10448455810547,19.00746726989746,2022-05-27,16.44166666666667,16.941666666666666,18.224999999999998,19.325000000000003,test
2022-06-01,17.815439224243164,18.04437255859375,18.430368423461914,19.449647903442383,2022-05-31,16.44166666666667,16.941666666666666,18.75,20.291666666666664,test
2022-06-07,18.7493953704834,18.8707275390625,19.253726959228516,20.069473266601562,2022-06-06,18.125,18.75,19.650000000000002,20.6,test
2022-06-14,19.882831573486328,20.11029815673828,20.348190307617188,20.823827743530273,2022-06-13,18.75,19.325000000000003,20.3,20.675,test
2022-06-21,20.104902267456055,20.437366485595703,20.578092575073242,21.160860061645508,2022-06-20,18.75,19.966666666666665,20.591666666666665,20.95,test
2022-06-28,20.777633666992188,21.093242645263672,21.330142974853516,21.75362777709961,2022-06-27,18.75,19.966666666666665,20.375,21.016666666666666,test
2022-07-01,20.058847427368164,20.66358184814453,21.18499755859375,21.78373146057129,2022-06-30,18.8,20.054545454545455,20.675,21.791666666666668,test
