tag,pred_m1_hot,pred_m1_p3,pred_m1_p7,pred_m1_p15,pred_point,true_m1_hot,true_m1_p3,true_m1_p7,true_m1_p15,split
2021-06-14,18.44601058959961,18.55921745300293,18.852392196655273,19.382482528686523,2021-06-13,15.391666666666667,15.850000000000001,16.666666666666668,19.516666666666666,test
2021-06-21,16.98038101196289,17.886184692382812,18.56851577758789,19.365310668945312,2021-06-20,16.666666666666668,18.474999999999998,19.10833333333333,20.599999999999998,test
2021-06-28,19.273269653320312,19.327465057373047,19.52482795715332,19.92074203491211,2021-06-27,18.766666666666666,19.55,20.45,21.041666666666664,test
2021-07-01,19.930063247680664,19.9827823638916,20.089855194091797,20.43399429321289,2021-06-30,18.766666666666666,19.55,20.45,21.099999999999998,test
2021-07-07,19.55564308166504,19.9348087310791,20.28487777709961,20.678287506103516,2021-07-06,18.766666666666666,19.983333333333338,20.35,21.358333333333334,test
2021-07-14,20.971891403198242,20.998367309570312,21.067476272583008,21.196746826171875,2021-07-13,20.075000000000003,20.35,20.708333333333336,21.358333333333334,test
2021-07-21,21.44066047668457,21.44659996032715,21.475908279418945,21.509279251098633,2021-07-20,18.458333333333336,20.325,20.558333333333334,21.35833333333333,test
2021-07-28,21.39545249938965,21.43423843383789,21.51669692993164,21.58245086669922,2021-07-27,18.26666666666667,19.908333333333335,20.341666666666665,21.199999999999996,test
2021-08-01,20.824249267578125,21.092668533325195,21.165088653564453,21.306081771850586,2021-07-31,18.26666666666667,19.908333333333335,20.341666666666665,21.283333333333335,test
2021-08-07,21.276947021484375,21.312210083007812,21.465309143066406,21.525270462036133,2021-08-06,18.26666666666667,19.191666666666666,20.283333333333335,21.116666666666664,test
2021-08-14,20.761474609375,20.961956024169922,21.14858627319336,21.40472412109375,2021-08-13,17.666666666666668,18.35,19.46666666666667,20.333333333333332,test
2021-08-21,19.35819435119629,20.16350555419922,20.256433486938477,20.67321014404297,2021-08-20,17.2,17.666666666666668,18.683333333333334,20.2,test
2021-08-28,19.779142379760742,19.95003890991211,20.336084365844727,20.781816482543945,2021-08-27,14.883333333333333,17.2,17.983333333333334,19.566666666666666,test
2021-09-01,19.505367279052734,19.72205352783203,20.064369201660156,20.46004867553711,2021-08-31,14.883333333333333,17.116666666666667,17.666666666666668,18.93333333333333,test
2021-09-07,18.69539451599121,18.981157302856445,19.418521881103516,20.19652557373047,2021-09-06,14.883333333333333,16.525000000000002,17.116666666666667,18.01666666666667,test
2021-09-14,17.897624969482422,17.991241455078125,18.39316749572754,19.19973373413086,2021-09-13,14.883333333333333,16.158333333333335,16.675,17.975,test
2021-09-21,16.98079490661621,17.223220825195312,17.477758407592773,18.32938003540039,2021-09-20,14.199999999999998,14.883333333333333,16.491666666666667,17.116666666666667,test
2021-09-28,15.981504440307617,16.242401123046875,16.874164581298828,17.481901168823242,2021-09-27,13.641666666666667,13.741666666666667,14.641666666666666,16.525000000000002,test
2021-10-01,15.183823585510254,15.584010124206543,16.015737533569336,16.980785369873047,2021-09-30,13.641666666666667,13.741666666666667,14.641666666666666,16.525000000000002,test
2021-10-07,14.306562423706055,14.508537292480469,14.924455642700195,16.131103515625,2021-10-06,13.641666666666667,13.741666666666667,14.199999999999998,15.916666666666666,test
