family,model,Cen_all,Neg_all,NW_all,AVG_all,Cen_ext,Neg_ext,NW_ext,AVG_ext
classical,Prophet,4.739414255944135,4.831832613299832,4.49817045710132,4.68980577544843,9.82271970946138,6.904195608415917,10.99698781613106,9.241301044669452
classical,SARIMAX,4.744054740228915,4.8052045791376266,4.514579227366862,4.687946182244468,9.776585273281212,6.846824980265346,10.93386188418165,9.185757379242737
foundational,TimesFM-2.5 (0-shot),5.070762108016472,4.85381080686449,4.810264104711862,4.911612339864274,10.346658226751511,6.380884767363975,11.89214435993344,9.539895784682976
foundational,Moirai-1.1-R-L (0-shot),4.93756080661782,4.868299466661888,4.570561213438052,4.792140495572586,10.600949022846839,6.764282864858349,11.957017525487913,9.774083137731035
non-spatial DL,LSTM (recursive),2.5074607418172032,1.9832764975362907,2.2074230784651623,2.2327201059395523,1.9710438636041456,1.4223771026169043,1.9165231916639542,1.7699813859616682
non-spatial DL,PatchTST (transformer),2.151937285227756,1.7575022565769851,2.1696777051130267,2.026372415639256,2.5732214322654148,1.8451255438984304,2.2339786246970847,2.2174418669536435
non-spatial DL,iTransformer,2.266794233973888,1.86910731689368,2.2986178404782773,2.144839797115282,3.2648166328348136,1.6853810738826143,3.451559631912797,2.800585779543408
spatial,ConvNeXt-TFT (OURS),2.265362483112752,2.135408648885943,2.080550740453489,2.1604406241507284,1.6758847390451728,1.2376233805780834,1.5350657569037531,1.4828579588423365
