tag,pred_m1_hot,pred_m1_p3,pred_m1_p7,pred_m1_p15,pred_point,true_m1_hot,true_m1_p3,true_m1_p7,true_m1_p15,split
2021-06-14,35.19506072998047,35.10595703125,34.70863342285156,34.217376708984375,2021-06-13,38.108333333333334,36.84166666666666,36.15833333333333,34.025,test
2021-06-21,34.84761047363281,34.40373611450195,34.17042922973633,33.84111404418945,2021-06-20,38.958333333333336,36.95,36.65,35.13333333333333,test
2021-06-28,36.106109619140625,35.2442626953125,35.00689697265625,34.66790771484375,2021-06-27,38.958333333333336,36.95,36.65,34.791666666666664,test
2021-07-01,36.31755065917969,35.962059020996094,35.81866455078125,35.193580627441406,2021-06-30,38.958333333333336,36.858333333333334,36.01666666666667,34.78333333333333,test
2021-07-07,35.610137939453125,35.498756408691406,35.373695373535156,34.86637878417969,2021-07-06,39.833333333333336,38.958333333333336,36.858333333333334,35.13333333333333,test
2021-07-14,35.51100158691406,35.318389892578125,35.12150573730469,34.945072174072266,2021-07-13,40.09166666666666,39.8,37.94166666666667,35.266666666666666,test
2021-07-21,36.326011657714844,36.0320930480957,35.6798095703125,35.55375671386719,2021-07-20,40.09166666666666,39.8,37.550000000000004,35.025000000000006,test
2021-07-28,35.704410552978516,35.669673919677734,35.50923156738281,35.186588287353516,2021-07-27,40.09166666666666,39.8,37.550000000000004,35.25,test
2021-08-01,36.3623046875,36.02957534790039,35.936370849609375,35.65965270996094,2021-07-31,40.09166666666666,39.8,37.550000000000004,35.266666666666666,test
2021-08-07,38.349609375,37.13378143310547,36.64912414550781,36.26820373535156,2021-08-06,40.09166666666666,36.391666666666666,35.55,34.86666666666667,test
2021-08-14,36.70726013183594,36.506874084472656,36.229225158691406,35.909629821777344,2021-08-13,36.391666666666666,35.94166666666667,35.15,33.925,test
2021-08-21,35.601776123046875,35.52574920654297,35.361114501953125,34.93182373046875,2021-08-20,36.391666666666666,35.94166666666667,35.15,33.85833333333334,test
2021-08-28,36.04478073120117,35.520835876464844,35.037261962890625,34.67510986328125,2021-08-27,36.00833333333333,35.38333333333333,34.13333333333333,32.85,test
2021-09-01,34.782535552978516,34.64024353027344,34.343963623046875,33.98304748535156,2021-08-31,36.00833333333333,34.36666666666667,33.87500000000001,32.11666666666667,test
2021-09-07,34.17949676513672,33.96919250488281,33.71175003051758,33.37693786621094,2021-09-06,36.00833333333333,34.36666666666667,32.79166666666667,30.33333333333333,test
2021-09-14,34.835777282714844,33.88020706176758,33.29644775390625,32.60212707519531,2021-09-13,34.36666666666667,34.025000000000006,32.56666666666667,30.33333333333333,test
