tag,pred_m1_hot,pred_m1_p3,pred_m1_p7,pred_m1_p15,pred_point,true_m1_hot,true_m1_p3,true_m1_p7,true_m1_p15,split
2021-06-14,18.107410430908203,18.197811126708984,18.473529815673828,18.83039093017578,2021-06-13,15.391666666666667,15.850000000000001,16.666666666666668,19.516666666666666,test
2021-06-21,17.159406661987305,17.906658172607422,18.524051666259766,18.908184051513672,2021-06-20,16.666666666666668,18.474999999999998,19.10833333333333,20.599999999999998,test
2021-06-28,18.81238555908203,19.02020835876465,19.143383026123047,19.632221221923828,2021-06-27,18.766666666666666,19.55,20.45,21.041666666666664,test
2021-07-01,19.38250732421875,19.802291870117188,19.942874908447266,20.214881896972656,2021-06-30,18.766666666666666,19.55,20.45,21.099999999999998,test
2021-07-07,19.449939727783203,19.58367156982422,19.856231689453125,20.183013916015625,2021-07-06,18.766666666666666,19.983333333333338,20.35,21.358333333333334,test
2021-07-14,20.481616973876953,20.670974731445312,20.791635513305664,21.045764923095703,2021-07-13,20.075000000000003,20.35,20.708333333333336,21.358333333333334,test
2021-07-21,20.893190383911133,21.12254524230957,21.28762435913086,21.477115631103516,2021-07-20,18.458333333333336,20.325,20.558333333333334,21.35833333333333,test
2021-07-28,21.000545501708984,21.260704040527344,21.455394744873047,21.56696319580078,2021-07-27,18.26666666666667,19.908333333333335,20.341666666666665,21.199999999999996,test
2021-08-01,21.108057022094727,21.179241180419922,21.33820343017578,21.502246856689453,2021-07-31,18.26666666666667,19.908333333333335,20.341666666666665,21.283333333333335,test
2021-08-07,21.091049194335938,21.24452018737793,21.483823776245117,21.769460678100586,2021-08-06,18.26666666666667,19.191666666666666,20.283333333333335,21.116666666666664,test
2021-08-14,21.3114013671875,21.498140335083008,21.579483032226562,21.755544662475586,2021-08-13,17.666666666666668,18.35,19.46666666666667,20.333333333333332,test
2021-08-21,19.692916870117188,20.363243103027344,20.616565704345703,20.79843521118164,2021-08-20,17.2,17.666666666666668,18.683333333333334,20.2,test
2021-08-28,20.181732177734375,20.68376922607422,20.877769470214844,21.206552505493164,2021-08-27,14.883333333333333,17.2,17.983333333333334,19.566666666666666,test
2021-09-01,20.067813873291016,20.525524139404297,20.74785614013672,21.1014461517334,2021-08-31,14.883333333333333,17.116666666666667,17.666666666666668,18.93333333333333,test
2021-09-07,19.191892623901367,19.34375,19.863319396972656,20.301504135131836,2021-09-06,14.883333333333333,16.525000000000002,17.116666666666667,18.01666666666667,test
2021-09-14,18.989585876464844,19.006732940673828,19.442401885986328,19.70510482788086,2021-09-13,14.883333333333333,16.158333333333335,16.675,17.975,test
2021-09-21,17.60877227783203,17.99536895751953,18.222095489501953,18.728294372558594,2021-09-20,14.199999999999998,14.883333333333333,16.491666666666667,17.116666666666667,test
2021-09-28,16.900915145874023,17.089550018310547,17.57312774658203,18.497220993041992,2021-09-27,13.641666666666667,13.741666666666667,14.641666666666666,16.525000000000002,test
2021-10-01,15.597410202026367,15.894240379333496,16.305057525634766,16.644733428955078,2021-09-30,13.641666666666667,13.741666666666667,14.641666666666666,16.525000000000002,test
2021-10-07,14.235807418823242,15.099092483520508,15.637222290039062,16.372909545898438,2021-10-06,13.641666666666667,13.741666666666667,14.199999999999998,15.916666666666666,test
2021-10-14,16.795894622802734,17.341655731201172,17.52783203125,18.052570343017578,2021-10-13,11.641666666666666,12.908333333333333,13.799999999999999,14.941666666666665,test
