season,region,target,model,source_csv,n,mae,rmse,mae_legacy_absofmean,rmse_legacy_absofmean,n_regions
winter,Negev,soft,Tab-LSTM,winter/Negev/Tab-LSTM__soft.csv,239,1.468244,1.753916,1.433751,1.745933,
winter,Northwest,anchor,ConvNeXtTiny-TFT,winter/Northwest/ConvNeXtTiny-TFT__anchor.csv,239,1.467534,1.947673,,,
winter,Northwest,anchor,ConvNeXtTiny-LSTM,winter/Northwest/ConvNeXtTiny-LSTM__anchor.csv,239,1.660076,2.135477,,,
winter,Northwest,anchor,Prophet,winter/Northwest/Prophet__anchor.csv,239,1.690318,2.313037,,,
winter,Northwest,anchor,SARIMAX,winter/Northwest/SARIMAX__anchor.csv,239,1.744446,2.374038,,,
winter,Northwest,anchor,Tab-LSTM,winter/Northwest/Tab-LSTM__anchor.csv,239,1.756514,2.188187,,,
winter,Northwest,soft,ConvNeXtTiny-TFT,winter/Northwest/ConvNeXtTiny-TFT__soft.csv,239,1.139195,1.433405,1.069150,1.410886,
winter,Northwest,soft,ConvNeXtTiny-LSTM,winter/Northwest/ConvNeXtTiny-LSTM__soft.csv,239,1.022675,1.259222,0.972681,1.242019,
winter,Northwest,soft,Prophet,winter/Northwest/Prophet__soft.csv,239,0.986272,1.267802,0.888930,1.224961,
winter,Northwest,soft,SARIMAX,winter/Northwest/SARIMAX__soft.csv,239,1.003641,1.294650,0.912968,1.255271,
winter,Northwest,soft,Tab-LSTM,winter/Northwest/Tab-LSTM__soft.csv,239,1.201158,1.441781,1.156720,1.429664,
summer,MEAN-3REGIONS,anchor,ConvNeXtTiny-LSTM,,716,2.338930,2.905695,,,3.000000
summer,MEAN-3REGIONS,anchor,ConvNeXtTiny-TFT,,716,2.160441,2.681543,,,3.000000
summer,MEAN-3REGIONS,anchor,Prophet,,717,4.689806,5.496656,,,3.000000
summer,MEAN-3REGIONS,anchor,SARIMAX,,717,4.687946,5.504940,,,3.000000
summer,MEAN-3REGIONS,anchor,Tab-LSTM,,716,2.764683,3.451992,,,3.000000
summer,MEAN-3REGIONS,soft,ConvNeXtTiny-LSTM,,716,1.489565,1.865888,1.346254,1.784111,3.000000
summer,MEAN-3REGIONS,soft,ConvNeXtTiny-TFT,,716,1.465719,1.773876,1.321641,1.698729,3.000000
summer,MEAN-3REGIONS,soft,Prophet,,717,2.076250,2.401994,1.905590,2.252131,3.000000
summer,MEAN-3REGIONS,soft,SARIMAX,,717,2.065610,2.402542,1.898495,2.260433,3.000000
summer,MEAN-3REGIONS,soft,Tab-LSTM,,716,1.572211,1.958351,1.424833,1.892858,3.000000
winter,MEAN-3REGIONS,anchor,ConvNeXtTiny-LSTM,,717,1.503713,1.913964,,,3.000000
winter,MEAN-3REGIONS,anchor,ConvNeXtTiny-TFT,,717,1.384547,1.805786,,,3.000000
winter,MEAN-3REGIONS,anchor,Prophet,,717,1.799186,2.392453,,,3.000000
winter,MEAN-3REGIONS,anchor,SARIMAX,,717,1.878030,2.471860,,,3.000000
winter,MEAN-3REGIONS,anchor,Tab-LSTM,,717,1.791386,2.174101,,,3.000000
winter,MEAN-3REGIONS,soft,ConvNeXtTiny-LSTM,,717,1.033063,1.305547,0.987591,1.291402,3.000000
winter,MEAN-3REGIONS,soft,ConvNeXtTiny-TFT,,717,1.082010,1.363669,1.021506,1.343609,3.000000
winter,MEAN-3REGIONS,soft,Prophet,,717,1.029377,1.313702,0.918828,1.266627,3.000000
winter,MEAN-3REGIONS,soft,SARIMAX,,717,1.048069,1.341761,0.947023,1.298008,3.000000
winter,MEAN-3REGIONS,soft,Tab-LSTM,,717,1.240335,1.497688,1.205081,1.488713,3.000000
