split,tag,y_p1,y_p3,y_p7,y_p15
train,2007-02-01,23.542856,21.928572,19.914286,16.971428
train,2007-02-07,23.542856,21.928572,20.157143,18.100000
train,2007-02-14,28.299999,23.542856,20.542856,19.257143
train,2007-02-21,28.299999,23.957144,21.928572,19.257143
train,2007-02-28,28.299999,27.657143,21.942858,19.157143
train,2007-03-01,28.299999,27.657143,22.342857,19.157143
train,2007-03-07,29.042856,28.028572,23.957144,19.157143
train,2007-03-14,32.771427,29.042856,23.957144,19.742857
train,2007-03-21,32.771427,29.299999,27.657143,22.057142
train,2007-03-28,32.771427,30.028572,28.128571,22.414286
train,2007-04-01,32.771427,30.028572,28.185715,23.514286
train,2007-04-07,35.814285,32.842857,29.714285,26.085714
train,2007-04-14,37.657143,35.814285,31.200001,28.128571
train,2007-04-21,37.657143,35.814285,32.733334,29.242857
train,2007-04-28,37.657143,35.814285,32.842857,29.557142
train,2007-05-01,37.657143,36.700001,33.557144,29.728571
train,2007-05-07,37.657143,36.700001,32.733334,29.557142
train,2007-05-14,39.728573,36.457142,31.957144,29.557142
train,2007-05-21,39.728573,36.457142,31.957144,29.928572
train,2007-05-28,39.728573,37.042858,36.457142,30.814285
train,2007-06-01,39.728573,37.742859,36.671429,32.228573
train,2007-06-07,39.728573,37.742859,36.671429,32.057144
train,2007-06-14,38.000000,37.328571,36.571430,33.485714
train,2007-06-21,38.000000,37.328571,36.571430,33.628571
train,2007-06-28,39.314285,37.742859,35.671429,33.628571
train,2007-07-01,39.314285,38.642857,35.671429,33.628571
train,2007-07-07,39.314285,38.642857,35.671429,33.985714
train,2007-07-14,39.314285,38.642857,35.671429,33.628571
train,2007-07-21,39.314285,38.642857,35.171429,33.457142
train,2007-07-28,38.642857,36.742859,35.628571,33.457142
train,2007-08-01,37.842857,36.400002,34.971428,33.271427
train,2007-08-07,37.842857,36.400002,34.971428,33.557144
train,2007-08-14,37.842857,36.400002,34.971428,33.242859
train,2007-08-21,37.842857,36.400002,34.971428,32.442856
train,2007-08-28,35.028572,34.099998,32.700001,30.514286
train,2007-09-01,34.483334,33.883335,31.628571,30.157143
train,2007-09-07,31.757143,31.628571,30.814285,29.985714
train,2007-09-14,31.728571,31.299999,30.514286,29.728571
train,2007-09-21,31.728571,31.142857,30.228571,29.128571
train,2007-09-28,33.500000,31.200001,30.228571,29.128571
train,2007-10-01,33.500000,31.200001,30.228571,28.714285
train,2007-10-07,33.500000,30.314285,29.914286,28.142857
train,2007-10-14,33.500000,31.200001,29.514286,27.228571
train,2007-10-21,33.500000,31.200001,28.714285,25.828571
train,2007-10-28,32.142857,28.714285,26.528572,24.042856
train,2007-11-01,32.142857,28.714285,24.814285,22.357143
train,2007-11-07,24.814285,24.285715,23.942858,21.342857
train,2007-11-14,24.314285,24.214285,22.871429,19.585714
train,2007-11-21,23.942858,21.942858,20.685715,18.700001
train,2007-11-28,23.942858,21.942858,19.957144,17.385714
train,2007-12-01,22.871429,20.685715,18.814285,17.057142
train,2007-12-07,20.685715,19.528572,17.942858,16.714285
train,2007-12-14,18.857143,18.085714,16.828571,15.614285
train,2007-12-21,18.857143,18.085714,16.142857,14.800000
train,2007-12-28,18.857143,16.885714,15.614285,14.242857
