ref,season,target,region,vs,dMAE,p_holm
ConvNeXtTiny-TFT-NN,summer,anchor,Center,Tab-TFT,0.071,0.4816
ConvNeXtTiny-TFT-NN,summer,anchor,Center,Tab-LSTM,0.215,0.0196
ConvNeXtTiny-TFT-NN,summer,anchor,Negev,Tab-TFT,0.13,0.3104
ConvNeXtTiny-TFT-NN,summer,anchor,Negev,Tab-LSTM,0.148,0.3104
ConvNeXtTiny-TFT-NN,summer,anchor,Northwest,Tab-TFT,0.035,1.0
ConvNeXtTiny-TFT-NN,summer,anchor,Northwest,Tab-LSTM,0.012,1.0
ConvNeXtTiny-TFT-NN,summer,soft,Center,Tab-TFT,0.039,0.527
ConvNeXtTiny-TFT-NN,summer,soft,Center,Tab-LSTM,0.072,0.3508
ConvNeXtTiny-TFT-NN,summer,soft,Negev,Tab-TFT,0.125,0.15
ConvNeXtTiny-TFT-NN,summer,soft,Negev,Tab-LSTM,0.089,0.2764
ConvNeXtTiny-TFT-NN,summer,soft,Northwest,Tab-TFT,-0.018,1.0
ConvNeXtTiny-TFT-NN,summer,soft,Northwest,Tab-LSTM,0.031,1.0
ConvNeXtTiny-TFT-NN,winter,anchor,Center,Tab-TFT,0.018,0.797
ConvNeXtTiny-TFT-NN,winter,anchor,Center,Tab-LSTM,0.164,0.0672
ConvNeXtTiny-TFT-NN,winter,anchor,Negev,Tab-TFT,0.139,0.034
ConvNeXtTiny-TFT-NN,winter,anchor,Negev,Tab-LSTM,0.186,0.0116
ConvNeXtTiny-TFT-NN,winter,anchor,Northwest,Tab-TFT,0.09,0.2744
ConvNeXtTiny-TFT-NN,winter,anchor,Northwest,Tab-LSTM,0.349,0.0008
ConvNeXtTiny-TFT-NN,winter,soft,Center,Tab-TFT,0.002,1.0
ConvNeXtTiny-TFT-NN,winter,soft,Center,Tab-LSTM,-0.066,0.8016
ConvNeXtTiny-TFT-NN,winter,soft,Negev,Tab-TFT,0.103,0.2832
ConvNeXtTiny-TFT-NN,winter,soft,Negev,Tab-LSTM,0.101,0.2832
ConvNeXtTiny-TFT-NN,winter,soft,Northwest,Tab-TFT,0.075,0.621
ConvNeXtTiny-TFT-NN,winter,soft,Northwest,Tab-LSTM,0.131,0.3296
