Station,Latitude,Longitude,regionId,height
NIZZAN,31.7319,34.6348,14,30
PARAN,30.3655,35.1479,10,100
PARAN,30.3655,35.1479,10,100
PARAN ,30.3696,35.15,10,100
QARNE SHOMERON,32.1752,35.0959,7,330
QEVUZAT YAVNE,31.8166,34.7244,14,50
ROSH HANIKRA,33.0806,35.1079,15,10
ROSH HANIQRA,33.0806,35.1079,9,10
ROSH TZURIM,31.6644,35.1233,7,950
ROSH ZURIM,31.6644,35.1233,7,950
SDE BOKER,30.8702,34.795,12,475
SDE ELIYAHU,32.439,35.5106,9,-185
SEDE BOQER,30.8702,34.795,12,475
SEDE ELIYYAHU,32.439,35.5106,9,-185
SEDOM,31.0306,35.3919,10,-388
SEDOM,31.0306,35.3919,10,-388
SHAARE TIQWA ,32.1257,35.0254,7,177
SHANI,31.3568,35.0662,7,700
SHANI,31.3568,35.0662,7,700
SHAVE ZIYYON,32.9836,35.0923,15,5
SHAVEI ZION,32.9836,35.0923,15,5
TAVOR KADOORIE,32.7053,35.4069,8,145
TAVOR KADURI,32.7053,35.4069,8,145
TEL AVIV BEACH,32.058,34.7588,13,10
TEL AVIV COAST,32.058,34.7588,13,10
TEL YOSEF,32.5462,35.3945,9,-65
TEL YOSEF,32.545,35.394,9,-65
TEL YOSEF,32.5462,35.3945,9,-65
TEL YOSEF,32.5462,35.3945,9,-65
TIBERIAS,32.7724,35.5458,9,-195
TIBERIAS,32.7724,35.5458,9,-195
TZEMAH,32.7024,35.5839,9,-200
TZFAT HAR CANAAN,32.98,35.507,8,936
TZOMET HANEGEV,31.0708,34.8513,12,360
TZUBA,31.7878,35.1258,7,710
YAVNEEL,32.6978,35.5101,9,0
YAVNEEL,32.6978,35.5101,9,0
YOTVATA,29.8851,35.0771,10,70
YOTVATA,29.8851,35.0771,10,70
ZEFAT HAR KENAAN,32.98,35.507,8,936
ZEMAH,32.7024,35.5839,9,-200
ZICHRON YAAKOV,32.5724,34.9546,11,175
ZIKHRON YAAQOV,32.5724,34.9546,11,175
ZOMET HANEGEV,31.0708,34.8513,12,360
ZOVA,31.7878,35.1258,7,710
