split,tag,y_p1,y_p3,y_p7,y_p15
train,2007-04-28,34.463634,33.272728,29.299999,24.727272
train,2007-05-01,35.818180,33.972729,30.045454,26.590910
train,2007-05-07,35.818180,33.272728,28.709091,24.909090
train,2007-05-14,36.863636,30.045454,28.636364,25.109091
train,2007-05-21,36.863636,29.790909,27.236364,26.281818
train,2007-05-28,36.863636,33.099998,29.954546,26.954546
train,2007-06-01,36.863636,32.909092,31.872726,27.236364
train,2007-06-07,36.863636,32.909092,31.872726,28.690908
train,2007-06-14,33.099998,32.654545,31.436363,28.936363
train,2007-06-21,33.099998,32.654545,31.436363,29.909090
train,2007-06-28,32.930000,32.689999,31.180000,30.072727
train,2007-07-01,32.930000,32.689999,31.500000,30.160000
train,2007-07-07,32.930000,32.689999,31.500000,30.509090
train,2007-07-14,32.930000,32.689999,31.500000,30.490000
train,2007-07-21,32.930000,32.689999,31.500000,30.172728
train,2007-07-28,33.618183,32.759998,31.172728,30.118181
train,2007-08-01,33.618183,32.200001,31.100000,30.118181
train,2007-08-07,33.618183,32.200001,31.100000,30.218182
train,2007-08-14,33.618183,32.200001,31.100000,30.218182
train,2007-08-21,33.618183,32.200001,31.100000,30.218182
train,2007-08-28,31.872726,30.763636,30.481817,29.036364
train,2007-09-01,30.954546,30.763636,30.136364,28.890909
train,2007-09-07,30.954546,30.481817,29.181818,28.709091
train,2007-09-14,30.954546,30.645454,29.190908,28.454546
train,2007-09-21,31.745455,30.909090,29.190908,28.227272
train,2007-09-28,35.654545,30.909090,30.027273,27.927273
train,2007-10-01,35.654545,30.909090,30.027273,27.663637
train,2007-10-07,35.654545,31.745455,30.027273,27.318182
train,2007-10-14,35.654545,31.745455,29.072727,26.754545
train,2007-10-21,35.654545,31.454546,27.318182,26.000000
train,2007-10-28,33.127274,27.818182,26.754545,24.463636
train,2007-11-01,33.127274,27.818182,26.754545,22.963636
train,2007-11-07,26.763636,26.327272,23.472727,22.290909
train,2007-11-14,26.763636,25.836363,22.618181,20.445454
train,2007-11-21,22.618181,22.490910,20.827272,19.190908
train,2007-11-28,22.618181,22.490910,20.172728,18.827272
train,2007-12-01,22.618181,21.727272,19.190908,18.418182
train,2007-12-07,21.727272,19.963636,18.854546,17.454546
train,2007-12-14,18.863636,18.827272,17.918182,17.090910
train,2007-12-21,18.863636,18.418182,17.163637,15.736363
train,2007-12-28,18.863636,17.254545,16.836363,15.581819
train,2008-01-01,17.254545,17.136364,16.190908,15.127273
train,2008-01-07,18.554546,17.254545,16.590910,15.009091
train,2008-01-14,21.136364,19.345455,17.509090,15.827272
train,2008-01-21,21.136364,19.345455,17.799999,16.027273
train,2008-01-28,21.136364,20.018183,18.590910,16.672728
train,2008-02-01,22.381819,20.245455,19.181818,17.381819
train,2008-02-07,27.945454,25.863636,20.018183,17.799999
train,2008-02-14,29.263636,27.136364,22.381819,18.309092
train,2008-02-21,30.790909,27.945454,25.863636,19.709091
train,2008-02-28,36.490910,32.945454,27.945454,22.381819
train,2008-03-01,36.490910,32.945454,27.945454,22.763636
train,2008-03-07,36.490910,32.945454,27.945454,22.381819
train,2008-03-14,36.490910,32.945454,26.109091,22.333334
train,2008-03-21,36.490910,34.872726,30.108334,22.825001
train,2008-03-28,39.941666,36.283333,30.108334,23.100000
train,2008-04-01,39.941666,36.283333,30.108334,22.841667
train,2008-04-07,39.941666,36.283333,28.674999,22.975000
train,2008-04-14,39.941666,36.283333,28.508333,23.008333
train,2008-04-21,39.941666,31.908333,28.183332,23.516666
train,2008-04-28,30.441668,28.183332,25.841667,24.108334
train,2008-05-01,30.441668,28.508333,27.416666,24.799999
train,2008-05-07,35.525002,28.966667,28.183332,26.616667
train,2008-05-14,37.458332,30.441668,28.250000,27.416666
train,2008-05-21,37.458332,29.908333,28.941668,27.549999
train,2008-05-28,37.458332,32.583332,29.908333,28.508333
train,2008-06-01,37.458332,32.583332,30.549999,29.008333
train,2008-06-07,37.458332,30.658333,30.100000,29.450001
train,2008-06-14,32.583332,31.441668,30.591667,29.850000
train,2008-06-21,32.583332,31.441668,30.750000,30.100000
train,2008-06-28,31.833334,31.441668,30.966667,30.100000
train,2008-07-01,31.833334,31.441668,30.966667,30.100000
train,2008-07-07,31.833334,31.816668,31.183332,30.558332
train,2008-07-14,31.833334,31.508333,31.033333,30.333334
train,2008-07-21,31.833334,31.666666,31.066668,30.424999
train,2008-07-28,31.833334,31.666666,30.975000,30.299999
train,2008-08-01,31.833334,31.666666,31.241667,30.549999
train,2008-08-07,31.666666,31.566668,30.975000,30.491667
train,2008-08-14,31.666666,31.566668,30.975000,30.383333
train,2008-08-21,31.658333,31.391666,30.799999,30.216667
train,2008-08-28,32.091667,31.391666,30.775000,29.900000
train,2008-09-01,32.091667,30.775000,30.241667,29.750000
train,2008-09-07,32.099998,31.391666,30.216667,29.433332
train,2008-09-14,32.099998,31.391666,30.000000,28.716667
train,2008-09-21,35.233334,32.091667,29.633333,27.741667
train,2008-09-28,35.233334,30.466667,28.091667,26.533333
train,2008-10-01,35.233334,30.466667,28.049999,26.316668
train,2008-10-07,35.233334,28.299999,26.666666,26.166666
train,2008-10-14,35.233334,27.741667,26.733334,26.075001
train,2008-10-21,27.299999,26.983334,26.533333,25.200001
train,2008-10-28,27.299999,26.983334,26.416666,24.650000
train,2008-11-01,27.299999,26.983334,26.416666,24.650000
train,2008-11-07,27.299999,26.875000,25.799999,23.583334
train,2008-11-14,26.875000,24.691668,23.816668,22.333334
train,2008-11-21,25.366667,24.633333,23.516666,21.408333
train,2008-11-28,23.816668,23.541666,22.750000,19.799999
train,2008-12-01,23.816668,23.541666,22.750000,19.491667
train,2008-12-07,23.516666,21.133333,19.799999,17.741667
train,2008-12-14,22.750000,20.083334,19.108334,17.450001
train,2008-12-21,18.950001,18.541666,17.958334,17.241667
train,2008-12-28,21.441668,20.208334,18.541666,17.583334
train,2009-01-01,21.441668,20.341667,18.950001,17.841667
train,2009-01-07,23.483334,21.441668,19.200001,17.958334
train,2009-01-14,23.483334,21.908333,20.341667,18.791666
train,2009-01-21,23.483334,21.908333,20.958334,19.041666
train,2009-01-28,23.483334,21.908333,20.508333,18.350000
train,2009-02-01,23.483334,21.908333,20.308332,17.450001
train,2009-02-07,29.416666,25.625000,20.975000,17.450001
train,2009-02-14,29.416666,25.625000,19.208334,17.450001
train,2009-02-21,29.416666,25.625000,19.058332,17.491667
train,2009-02-28,29.416666,25.625000,19.058332,17.700001
train,2009-03-01,29.416666,25.625000,19.058332,17.700001
train,2009-03-07,29.416666,24.533333,21.275000,18.250000
train,2009-03-14,26.533333,24.533333,21.275000,18.558332
train,2009-03-21,32.400002,26.533333,24.533333,19.799999
train,2009-03-28,32.400002,29.400000,25.941668,21.275000
train,2009-04-01,32.400002,29.400000,25.941668,21.975000
train,2009-04-07,35.308334,29.916666,26.533333,21.591667
train,2009-04-14,35.308334,29.916666,25.941668,21.841667
train,2009-04-21,35.308334,32.625000,27.791666,22.500000
train,2009-04-28,35.308334,32.625000,27.608334,24.825001
train,2009-05-01,35.308334,32.625000,27.608334,25.291666
train,2009-05-07,34.783333,29.741667,28.208334,26.166666
train,2009-05-14,34.783333,29.825001,29.391666,27.325001
train,2009-05-21,30.033333,29.741667,29.000000,27.741667
train,2009-05-28,32.133335,30.850000,29.825001,28.924999
train,2009-06-01,35.441666,31.458334,29.850000,29.000000
train,2009-06-07,35.441666,32.133335,30.033333,29.000000
train,2009-06-14,35.441666,32.133335,31.266666,29.575001
train,2009-06-21,35.441666,32.133335,31.266666,29.858334
train,2009-06-28,35.441666,32.049999,31.516666,30.558332
train,2009-07-01,34.566666,31.991667,31.516666,30.566668
train,2009-07-07,32.049999,31.991667,31.549999,30.991667
train,2009-07-14,31.991667,31.758333,31.549999,30.975000
train,2009-07-21,31.991667,31.758333,31.549999,31.041666
train,2009-07-28,31.991667,31.850000,31.366667,30.991667
train,2009-08-01,31.950001,31.758333,31.150000,30.841667
train,2009-08-07,31.950001,31.250000,31.000000,30.525000
train,2009-08-14,35.016666,31.850000,31.000000,30.158333
train,2009-08-21,35.016666,31.850000,30.316668,29.791666
train,2009-08-28,35.016666,30.225000,29.900000,29.491667
train,2009-09-01,35.016666,30.158333,29.666666,29.108334
train,2009-09-07,35.016666,30.316668,29.491667,28.833334
train,2009-09-14,31.738462,29.608334,29.230770,28.641666
train,2009-09-21,38.938461,34.492310,31.200001,28.833334
train,2009-09-28,38.938461,34.492310,31.738462,28.861538
train,2009-10-01,38.938461,34.492310,31.738462,28.861538
train,2009-10-07,38.938461,34.492310,31.707693,28.200001
train,2009-10-14,38.938461,34.492310,31.707693,27.969231
train,2009-10-21,33.384617,31.569231,28.200001,23.591667
train,2009-10-28,30.008333,28.200001,24.207693,22.284615
train,2009-11-01,30.008333,26.450001,23.591667,21.838461
train,2009-11-07,30.008333,24.807692,23.130770,21.523077
train,2009-11-14,24.207693,22.284615,21.823076,20.253845
train,2009-11-21,24.207693,22.246155,21.176924,20.100000
train,2009-11-28,22.246155,21.823076,20.453846,19.323076
train,2009-12-01,22.246155,21.823076,20.453846,19.238462
train,2009-12-07,22.184616,21.669231,19.669231,19.030769
train,2009-12-14,23.838461,22.769230,21.669231,19.492308
train,2009-12-21,23.838461,22.769230,21.700001,19.669231
train,2009-12-28,23.838461,22.769230,21.669231,19.261538
train,2010-01-01,23.838461,22.769230,21.669231,19.261538
train,2010-01-07,23.838461,22.769230,21.646154,18.684616
train,2010-01-14,23.146154,22.261538,20.807692,18.423077
train,2010-01-21,27.992308,26.176924,22.730770,18.684616
train,2010-01-28,27.992308,26.176924,23.146154,18.969231
train,2010-02-01,27.992308,26.176924,23.146154,18.625000
train,2010-02-07,29.115385,26.538462,25.291666,19.353846
train,2010-02-14,31.592308,29.276922,26.538462,22.653847
train,2010-02-21,31.592308,29.276922,25.338461,19.275000
train,2010-02-28,31.592308,29.276922,25.799999,20.041666
train,2010-03-01,31.592308,29.276922,25.799999,20.041666
train,2010-03-07,31.592308,30.753845,26.116667,22.491667
