split,tag,y_p1,y_p3,y_p7,y_p15
train,2007-02-14,26.922222,23.433332,20.700001,19.687500
train,2007-02-21,26.922222,23.433332,21.187500,19.711111
train,2007-02-28,29.266666,26.922222,20.762501,19.687500
train,2007-03-01,29.266666,26.922222,21.333334,19.687500
train,2007-03-07,32.744446,29.133333,21.766666,19.711111
train,2007-03-14,34.711113,29.266666,21.766666,20.222221
train,2007-03-21,34.711113,30.811111,25.911112,20.744444
train,2007-03-28,34.711113,30.811111,25.911112,21.188889
train,2007-04-01,34.711113,30.811111,25.911112,22.500000
train,2007-04-07,38.333332,30.811111,27.900000,23.666666
train,2007-04-14,38.333332,32.333332,29.600000,25.444445
train,2007-04-21,38.333332,32.333332,29.600000,25.755556
train,2007-04-28,38.333332,32.333332,29.600000,25.977777
train,2007-05-01,38.388889,34.599998,31.677778,26.900000
train,2007-05-07,38.388889,32.333332,31.299999,26.077778
train,2007-05-14,38.388889,31.877777,28.244444,26.077778
train,2007-05-21,38.388889,31.877777,28.233334,26.900000
train,2007-05-28,38.388889,32.755554,30.933332,27.866667
train,2007-06-01,37.622223,33.555557,31.355556,28.233334
train,2007-06-07,37.622223,33.555557,31.355556,29.511110
train,2007-06-14,33.588890,32.755554,31.355556,29.844444
train,2007-06-21,33.588890,32.755554,31.966667,30.711111
train,2007-06-28,34.066666,33.188889,31.966667,31.022223
train,2007-07-01,34.066666,33.188889,32.088890,31.022223
train,2007-07-07,34.066666,33.188889,32.122223,31.222221
train,2007-07-14,34.066666,33.188889,32.122223,31.144444
train,2007-07-21,34.066666,33.188889,32.122223,31.000000
train,2007-07-28,33.677776,33.299999,32.122223,30.944445
train,2007-08-01,33.677776,33.122223,31.622223,30.811111
train,2007-08-07,33.677776,33.122223,31.755556,30.988890
train,2007-08-14,33.677776,33.122223,31.755556,30.944445
train,2007-08-21,33.677776,33.122223,31.755556,30.799999
train,2007-08-28,31.944445,31.655556,30.988890,29.911112
train,2007-09-01,31.944445,31.477777,30.222221,29.700001
train,2007-09-07,30.711111,30.190001,29.922222,29.389999
train,2007-09-14,31.049999,30.190001,29.844444,29.188889
train,2007-09-21,31.570000,30.240000,29.680000,29.055555
train,2007-09-28,31.570000,31.049999,29.780001,28.670000
train,2007-10-01,31.570000,31.049999,29.780001,28.379999
train,2007-10-07,33.580002,31.170000,29.490000,28.000000
train,2007-10-14,33.930000,31.570000,28.950001,27.410000
train,2007-10-21,33.930000,31.170000,28.350000,26.570000
train,2007-10-28,33.930000,28.950001,27.030001,24.990000
train,2007-11-01,33.930000,28.950001,26.090000,24.170000
train,2007-11-07,26.090000,25.170000,24.360001,22.820000
train,2007-11-14,25.459999,25.049999,24.030001,21.740000
train,2007-11-21,24.400000,22.900000,21.830000,20.520000
train,2007-11-28,24.400000,22.370001,21.410000,19.629999
train,2007-12-01,22.900000,21.520000,20.860001,19.360001
train,2007-12-07,21.520000,21.299999,20.010000,19.030001
train,2007-12-14,21.299999,19.629999,19.049999,17.959999
train,2007-12-21,21.299999,19.627274,18.009090,17.545454
train,2007-12-28,20.860001,18.481817,17.936363,17.009090
train,2008-01-01,19.627274,18.009090,17.840000,16.036364
train,2008-01-07,19.139999,18.009090,17.750000,16.009090
train,2008-01-14,22.000000,19.639999,18.311111,17.040001
train,2008-01-21,22.000000,19.639999,18.311111,16.629999
train,2008-01-28,22.000000,19.639999,18.888889,17.422222
