split,tag,y_p1,y_p3,y_p7,y_p15
train,2010-03-14,35.608334,32.950001,26.708334,21.983334
train,2010-03-21,35.608334,29.366667,26.483334,23.049999
train,2010-03-28,35.608334,30.558332,26.391666,23.825001
train,2010-04-01,35.608334,30.674999,26.483334,24.125000
train,2010-04-07,35.608334,30.558332,26.308332,24.191668
train,2010-04-14,37.683334,30.708334,27.766666,25.383333
train,2010-04-21,37.683334,31.816668,29.375000,25.641666
train,2010-04-28,37.683334,32.783333,29.841667,26.049999
train,2010-05-01,37.683334,32.783333,29.841667,26.633333
train,2010-05-07,37.683334,33.825001,30.708334,28.583334
train,2010-05-14,34.391666,32.783333,30.233334,28.650000
train,2010-05-21,34.391666,32.783333,31.483334,29.150000
train,2010-05-28,37.508335,35.299999,31.975000,29.266666
train,2010-06-01,37.566666,36.208332,32.441666,30.233334
train,2010-06-07,37.566666,36.208332,31.975000,30.258333
train,2010-06-14,37.566666,36.208332,31.483334,30.758333
train,2010-06-21,37.566666,36.208332,31.541666,30.850000
train,2010-06-28,37.566666,32.950001,31.900000,31.133333
train,2010-07-01,34.166668,32.900002,31.691668,31.133333
train,2010-07-07,35.766666,34.108334,32.825001,31.558332
train,2010-07-14,36.299999,34.375000,32.950001,32.174999
train,2010-07-21,36.299999,34.983334,34.108334,32.700001
train,2010-07-28,36.299999,34.983334,34.108334,32.799999
train,2010-08-01,36.299999,34.983334,34.108334,32.950001
train,2010-08-07,34.983334,34.433334,33.474998,32.758335
train,2010-08-14,34.983334,34.433334,33.258335,32.441666
train,2010-08-21,33.716667,33.141666,32.816666,31.841667
train,2010-08-28,33.133335,32.916668,32.116665,31.799999
train,2010-09-01,33.766666,33.133335,32.200001,31.799999
train,2010-09-07,35.741665,33.766666,32.608334,31.750000
train,2010-09-14,35.741665,33.766666,32.608334,31.049999
train,2010-09-21,40.750000,35.500000,33.766666,31.841667
train,2010-09-28,40.750000,35.500000,33.766666,30.549999
train,2010-10-01,40.750000,35.500000,34.366665,29.266666
train,2010-10-07,40.750000,35.466667,32.233334,28.866667
train,2010-10-14,40.750000,35.466667,32.233334,28.466667
train,2010-10-21,34.583332,32.516666,28.958334,27.566668
train,2010-10-28,34.583332,32.516666,28.858334,26.883333
train,2010-11-01,33.750000,31.458334,28.858334,26.883333
train,2010-11-07,33.750000,28.958334,28.233334,26.816668
